id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ext_gene,gene_biotype
ENSG00000117115,10911.6723743662,2.42670487287065,0.0426274934082916,56.9281625271128,0,0,PADI2,protein_coding
ENSG00000123358,3998.38388262418,3.2261494914625,0.0748960014510316,43.0750564644204,0,0,NR4A1,protein_coding
ENSG00000135046,58447.5162688156,-2.33642160423059,0.0572066963674402,-40.8417502248983,0,0,ANXA1,protein_coding
ENSG00000188157,25591.8545641058,3.21766743311782,0.0786888826398588,40.8910042330167,0,0,AGRN,protein_coding
ENSG00000213977,3569.55352473796,2.36684377481628,0.0578032671011991,40.946539763445,0,0,TAX1BP3,protein_coding
ENSG00000197329,3585.82876333034,-2.18432611439499,0.0637519321540482,-34.2629005991042,2.80242647448273e-257,2.41391675090361e-254,PELI1,protein_coding
ENSG00000213347,1152.00229266176,4.2263214398382,0.127742755298276,33.0846272257854,4.94497241349075e-240,3.19457580342536e-237,MXD3,protein_coding
ENSG00000105519,815.001619599939,4.30897188432038,0.137883404603307,31.2508375951215,2.17477635461296e-214,1.0217890141737e-211,CAPS,protein_coding
ENSG00000163283,11744.9099021899,2.66381578665112,0.0869536607699535,30.6348894694448,4.20094354177575e-206,1.77961609939389e-203,ALPP,protein_coding
ENSG00000085998,6196.2110748036,1.46606641994981,0.0482853983008179,30.3625210009913,1.71732159966811e-202,7.04401705667041e-200,POMGNT1,protein_coding
ENSG00000139055,871.326107403734,4.86383183268888,0.160853264183296,30.237694319628,7.57272833367406e-201,3.05760738860111e-198,ERP27,protein_coding
ENSG00000125740,1424.34822422811,3.11042766559158,0.104338781221601,29.8108491317861,2.82623179221308e-195,1.07400964327321e-192,FOSB,protein_coding
ENSG00000161326,2818.63481254764,-1.59652251916657,0.0551917857870229,-28.9268139524841,5.49381282855705e-184,1.8679686487203e-181,NA,NA
ENSG00000166825,7747.97957018293,2.26871978139445,0.0798552877486266,28.4103889091987,1.50483178880444e-177,4.57486567699948e-175,ANPEP,protein_coding
ENSG00000092841,29740.6170392189,1.90783350095753,0.0681421299945878,27.9978553812312,1.72545725723872e-172,4.79435924562427e-170,MYL6,protein_coding
ENSG00000108669,2293.63451596015,-2.87827667942606,0.107876705045042,-26.6811697504507,7.78579356377752e-157,1.89804425926014e-154,CYTH1,protein_coding
ENSG00000118689,10691.8646918399,-1.18036207928926,0.044350738358437,-26.6142599419591,4.64231433085587e-156,1.12114060395931e-153,FOXO3,protein_coding
ENSG00000115380,919.695589879941,3.38560972877715,0.135294913014354,25.0239247976601,3.35725060199431e-138,7.0532286834256e-136,EFEMP1,protein_coding
ENSG00000167306,7823.46270881518,-1.82632096562213,0.0734090515211052,-24.8786890414606,1.26563799794427e-136,2.57522452794313e-134,MYO5B,protein_coding
ENSG00000112304,5254.24646432306,-1.79472762746188,0.0727221982596142,-24.6792268442546,1.78763808781955e-134,3.52628670437749e-132,ACOT13,protein_coding
ENSG00000151353,3442.87614916584,-1.31792056967247,0.0537425993649066,-24.5228289149902,8.43337060924359e-133,1.61427207343306e-130,TMEM18,protein_coding
ENSG00000168522,2806.70894960862,-2.06430459327546,0.0851841547261203,-24.2334340220021,9.88659303080734e-130,1.78656958397967e-127,FNTA,protein_coding
ENSG00000063245,7552.00200954003,1.28152448387106,0.0532435918756909,24.0690839728293,5.27011370307536e-128,9.32774028775139e-126,EPN1,protein_coding
ENSG00000123143,5025.44993346541,1.46883466860717,0.0614768488669018,23.8924846617825,3.66640120469083e-126,6.19238389087685e-124,PKN1,protein_coding
ENSG00000167034,1037.54390949522,-2.23960837040721,0.095701575432979,-23.4020010671155,4.07772274698432e-121,6.3477369581218e-119,NKX3-1,protein_coding
ENSG00000127838,2776.62392730327,1.46766438476342,0.0627955426175542,23.3721108789837,8.21412817286131e-121,1.27102566535874e-118,PNKD,protein_coding
ENSG00000184164,1914.32855844596,1.7619350459697,0.077530174919615,22.7257973788465,2.4906614103294e-114,3.44177441199582e-112,CRELD2,protein_coding
ENSG00000225663,2223.22911962988,1.87506158756702,0.0839030630276117,22.3479515515418,1.26411539407251e-110,1.6251744227974e-108,MCRIP1,protein_coding
ENSG00000041357,16058.7122976435,-1.42740250559071,0.0639439472306812,-22.3227149309579,2.22368632766888e-110,2.83065410804392e-108,PSMA4,protein_coding
ENSG00000126067,29902.9242694392,-1.26683751223161,0.0570166144603255,-22.2187431544734,2.26315171353658e-109,2.85278553314628e-107,PSMB2,protein_coding
ENSG00000092978,1418.49052119922,-1.99861861693933,0.0904974852785123,-22.0847972823603,4.42528130240297e-108,5.39404217619789e-106,GPATCH2,protein_coding
ENSG00000184860,1739.74111613851,-1.94101084076149,0.0903534070409324,-21.4824310928548,2.27294103678385e-102,2.54264369400569e-100,SDR42E1,protein_coding
ENSG00000099219,6778.94795070617,1.1935951197014,0.0568471796335889,20.9965582706965,7.05124378963079e-98,7.28844763071397e-96,ERMP1,protein_coding
ENSG00000165802,2521.61942889859,1.56011793985269,0.074771423099722,20.8651631221727,1.11015167781839e-96,1.12060271509785e-94,NSMF,protein_coding
ENSG00000185163,1744.31755280998,1.9362447005188,0.0939954198961283,20.5993515711563,2.78142198422646e-94,2.65220389278214e-92,DDX51,protein_coding
ENSG00000105856,4057.77992297861,-2.08734244540941,0.103092360792922,-20.2473047406702,3.7521581876946e-91,3.41406759606395e-89,HBP1,protein_coding
ENSG00000091136,7070.75582802866,1.48189497806673,0.0732323494993559,20.2355241665402,4.76532562299519e-91,4.29061949211912e-89,LAMB1,protein_coding
ENSG00000152219,1023.18126154737,-1.90547006691667,0.0947731908859627,-20.105581009818,6.59437498423831e-90,5.75693391782777e-88,ARL14EP,protein_coding
ENSG00000132182,7057.54158416892,1.33802193338465,0.0682947197290347,19.5918797045126,1.81368866501374e-85,1.42454494810395e-83,NUP210,protein_coding
ENSG00000149798,747.450152220785,-2.37560005796807,0.122797324219704,-19.3456988828009,2.21580167780645e-83,1.66449218477315e-81,CDC42EP2,protein_coding
ENSG00000174871,527.186612874026,2.62927715956774,0.138465584606877,18.9886690402717,2.11624495943009e-80,1.47005069883422e-78,CNIH2,protein_coding
ENSG00000114779,563.847429836297,2.18487926657061,0.115804236149957,18.8670064171173,2.13029593422996e-79,1.46406854352224e-77,ABHD14B,protein_coding
ENSG00000149547,12213.340248635,1.26191512366697,0.0669497395819092,18.8486935355901,3.01189122037514e-79,2.05900214353741e-77,EI24,protein_coding
ENSG00000198624,790.765919055636,2.04869734029233,0.110181979997068,18.5937604347539,3.6096086771656e-77,2.32608224006574e-75,CCDC69,protein_coding
ENSG00000100075,3302.48603158436,1.19952138910149,0.0652333317611363,18.3881668576082,1.63412442914736e-75,9.91253741164246e-74,SLC25A1,protein_coding
ENSG00000148303,55601.3708129481,1.13383529731136,0.0618305841650052,18.3377743009112,4.1337806065416e-75,2.47270890401948e-73,RPL7A,protein_coding
ENSG00000144233,4107.00852992931,-1.44687266164118,0.0795737836158155,-18.1827807588831,7.06582858782802e-74,4.1877999205978e-72,AMMECR1L,protein_coding
ENSG00000163171,4318.60058544379,-1.85672509435142,0.102426192818863,-18.1274441942304,1.93548225405045e-73,1.12900218796654e-71,CDC42EP3,protein_coding
ENSG00000183668,405.891848462938,3.24326347238558,0.179539893593982,18.0643054168229,6.08834367745001e-73,3.51180555734343e-71,PSG9,protein_coding
ENSG00000175105,724.317456524371,-1.80644252160718,0.10006931633261,-18.0519122925046,7.62059616825054e-73,4.37608501297249e-71,ZNF654,protein_coding
ENSG00000182809,759.641151899237,2.56314014980048,0.142341778840913,18.0069419580961,1.7186481761072e-72,9.76078846566728e-71,CRIP2,protein_coding
ENSG00000162222,1907.07151662774,-1.40192186467034,0.078378779044452,-17.8864978730436,1.50260368163546e-71,8.42272922714573e-70,TTC9C,protein_coding
ENSG00000122545,17315.3203496864,-1.22598637085956,0.0687495207626807,-17.8326533372006,3.94258350707451e-71,2.18627254090799e-69,SEPT7,protein_coding
ENSG00000131238,27735.4656447507,1.11130324751266,0.0624515097435831,17.7946578405472,7.77407608056895e-71,4.2561419491098e-69,PPT1,protein_coding
ENSG00000171130,1319.11670623669,1.74567794293237,0.0982045553255352,17.7759365351808,1.08569418167937e-70,5.93137914350456e-69,ATP6V0E2,protein_coding
ENSG00000198074,609.150697426394,-2.25081722413583,0.126805894289456,-17.7500993683933,1.72049339986533e-70,9.30110249914643e-69,AKR1B10,protein_coding
ENSG00000224051,1740.10385159994,-2.23229095085951,0.126382803273234,-17.6629327174631,8.09236290472146e-70,4.30277263005982e-68,CPTP,protein_coding
ENSG00000131100,9349.26855569808,-1.20409595213609,0.0682652888877983,-17.638480284104,1.24771639301189e-69,6.62058302090766e-68,ATP6V1E1,protein_coding
ENSG00000174903,12495.201516086,1.10293293818433,0.0631459620813725,17.4664048472813,2.58264759139321e-68,1.34552815341113e-66,RAB1B,protein_coding
ENSG00000136932,1047.98685191046,-1.46245951341382,0.0837589901012306,-17.460328875101,2.87274403784597e-68,1.49065419040116e-66,TRMO,protein_coding
ENSG00000110696,9874.89503804569,-1.21583598272197,0.0719122428415757,-16.9072182243083,3.98059658200059e-64,1.80144651971063e-62,C11orf58,protein_coding
ENSG00000106070,2074.57729756347,-3.19658288368893,0.189643521732372,-16.8557452133799,9.52005329887729e-64,4.2342116574232e-62,GRB10,protein_coding
ENSG00000155066,5616.53844448763,1.87728054093923,0.111872257682414,16.7805725908251,3.38555936887795e-63,1.4878612185574e-61,PROM2,protein_coding
ENSG00000142208,9138.25078291931,1.17630343989181,0.0706196329118736,16.6568897541527,2.69689207819794e-62,1.15957384680055e-60,AKT1,protein_coding
ENSG00000108679,23514.4038101598,1.18669751876469,0.0715385744624635,16.5882187013295,8.47982789940172e-62,3.60406632809934e-60,LGALS3BP,protein_coding
ENSG00000156831,1947.23471658373,-1.33978735019021,0.0820102818036194,-16.3368216853399,5.39951376501813e-60,2.18697233858673e-58,NSMCE2,protein_coding
ENSG00000120533,4215.18010852061,-1.13143897815474,0.0696431803885053,-16.2462278695917,2.37537395570489e-59,9.50186352776626e-58,ENY2,protein_coding
ENSG00000115966,2724.01885824613,-1.10023853562356,0.0691945878186323,-15.9006444045511,6.271629561364e-57,2.36937396922817e-55,ATF2,protein_coding
ENSG00000104375,2930.81005701673,-1.64253733405755,0.103382990308633,-15.8878876414198,7.687471883013e-57,2.88319246631261e-55,STK3,protein_coding
ENSG00000141378,1493.23006984876,-1.52097017892395,0.0975125328550783,-15.5976891830345,7.54770174106451e-55,2.67544802045059e-53,PTRH2,protein_coding
ENSG00000070669,5379.58240610168,-1.24342954788456,0.079935212622324,-15.5554668223563,1.46086196636918e-54,5.13607266298584e-53,ASNS,protein_coding
ENSG00000100614,3151.85310011237,-1.56576676300116,0.101533720944176,-15.4211502192659,1.17984123830793e-53,4.08690046100741e-52,PPM1A,protein_coding
ENSG00000165997,2417.93441889753,-1.02560157510399,0.0674789125111342,-15.1988456384024,3.59907403040589e-52,1.20941055942417e-50,ARL5B,protein_coding
ENSG00000130529,1628.81853323527,1.62588221751075,0.10771272370873,15.0946161375267,1.7570747116865e-51,5.81364502236759e-50,TRPM4,protein_coding
ENSG00000116649,2831.57343806727,1.06501647108116,0.0706828418906495,15.0675389188342,2.64794523587097e-51,8.7166309350499e-50,SRM,protein_coding
ENSG00000105221,6173.81453078605,1.00883129544658,0.066978406230264,15.0620379347089,2.87777413153256e-51,9.44911833963569e-50,AKT2,protein_coding
ENSG00000196642,6462.24615076287,1.15204185412617,0.0768531718707199,14.9901666526413,8.51393305745784e-51,2.76740307091532e-49,RABL6,protein_coding
ENSG00000149016,1166.82925350922,2.64236613263024,0.176881771159024,14.9386005992366,1.8481570034515e-50,5.94007775201371e-49,TUT1,protein_coding
ENSG00000187601,264.734807560781,2.30183156916559,0.155879470387949,14.7667397344682,2.40047140101907e-49,7.47356403297996e-48,MAGEH1,protein_coding
ENSG00000104312,4017.57761946774,-1.18025400724221,0.0804600032121912,-14.6688287363054,1.02092136886499e-48,3.12578543754031e-47,RIPK2,protein_coding
ENSG00000126214,2061.87627362432,-1.78755690751476,0.123091932575751,-14.5221288683132,8.77423198340605e-48,2.58534696332036e-46,KLC1,protein_coding
ENSG00000170456,495.391249099959,-1.79902372940564,0.124254286492919,-14.4785647254767,1.65517337464554e-47,4.8329192287249e-46,DENND5B,protein_coding
ENSG00000136783,1286.75109894155,1.39181286755863,0.0962362613479866,14.4624577894385,2.09192367545625e-47,6.06704822642704e-46,NIPSNAP3A,protein_coding
ENSG00000164830,2765.01879340884,-1.00793577205164,0.0705247449591948,-14.2919449426557,2.45651703787371e-46,6.87000614455568e-45,OXR1,protein_coding
ENSG00000164117,769.09556430534,-1.99030206442629,0.139501980529973,-14.2671957549639,3.50387278455069e-46,9.74634839887775e-45,FBXO8,protein_coding
ENSG00000120727,4037.23066204929,-1.25464373201655,0.088053463973504,-14.2486584331774,4.56975824632271e-46,1.26567119874839e-44,PAIP2,protein_coding
ENSG00000108292,2441.10398464243,2.20602152492751,0.155752800478401,14.163607448159,1.53887223751431e-45,4.19030532029581e-44,NA,NA
ENSG00000118482,5538.37843127778,-1.27133336454157,0.0903278940087072,-14.0746485733302,5.43745166089988e-45,1.45605376548512e-43,PHF3,protein_coding
ENSG00000143643,1386.40840681913,1.83068011250065,0.131886745700888,13.8806981912537,8.29321661567649e-44,2.13877256053589e-42,TTC13,protein_coding
ENSG00000173418,6600.07433621173,-1.00020228653625,0.0735305236735082,-13.6025453997495,3.86735780659684e-42,9.45472025357322e-41,NAA20,protein_coding
ENSG00000100852,5165.25100668267,-1.1919905492337,0.087750516481146,-13.5838579307942,4.9925876555432e-42,1.21481598499898e-40,ARHGAP5,protein_coding
ENSG00000126653,1687.88192392116,-1.29381355449891,0.095914259060733,-13.4892722643009,1.80877073831475e-41,4.32781894896217e-40,NSRP1,protein_coding
ENSG00000136710,1515.05268477956,1.29222535554353,0.0959913204946158,13.4618978974876,2.62096533304836e-41,6.23649771374795e-40,CCDC115,protein_coding
ENSG00000136238,31773.2836762081,-1.02712632783202,0.0766208845499259,-13.405305013971,5.62913779541259e-41,1.32118573815855e-39,RAC1,protein_coding
ENSG00000130303,2800.14405804362,1.08216470590371,0.0807888548649393,13.3949751820699,6.46976637560764e-41,1.51435899376881e-39,BST2,protein_coding
