eventtype,event_name,control,prpf38,prpf8,prpf8_diff,prpf38_diff,symbol
A3SS,1:100316045:100316174:+@1:100316531|100316591:100316680:+,0.038,0.042,0.046,same,same,AGL
A3SS,1:100732080:100732180:+@1:100733630|100733708:100733851:+,0.87,0.77,0.76,lower,same,RTCA
A3SS,1:101360189:101361554:-@1:101354384|101354420:101354309:-,0.224,0.158,0.23,same,same,EXTL2
A3SS,1:101360189:101361554:-@1:101354384|101354420:101354309:-,0.224,0.158,0.23,same,same,RP4-549L20.3
A3SS,1:101487197:101487321:-@1:101467100|101467143:101467023:-,0.758,0.642,0.576,lower,lower,DPH5
A3SS,1:1019733:1019763:-@1:1019391|1019466:1019295:-,0.908,0.918,0.88,same,same,C1orf159
A3SS,1:1026852:1026945:-@1:1025808|1025967:1025733:-,0.038,0.048,0.04,same,same,C1orf159
A3SS,1:1026852:1026945:-@1:1025808|1026754:1025733:-,0.018,0.04,0.026,same,same,C1orf159
A3SS,1:1026852:1026945:-@1:1025967|1026754:1025733:-,0.13,0.312,0.224,same,higher,C1orf159
A3SS,1:1027371:1027483:-@1:1026945|1026989:1026852:-,0.114,0.148,0.236,higher,same,C1orf159
A3SS,1:104083972:104084097:+@1:104085918|104085921:104086069:+,0.208,0.22,0.276,same,same,RNPC3
A3SS,1:104085918:104086069:+@1:104087563|104087599:104087724:+,0.058,0.112,0.084,same,same,RNPC3
A3SS,1:10459686:10459761:+@1:10460433|10460450:10460629:+,0.956,0.952,0.936,same,same,PGD
A3SS,1:109419603:109419850:+@1:109427897|109428129:109428200:+,0.014,0.016,0.018,same,same,AKNAD1
A3SS,1:109419603:109419850:+@1:109427897|109428129:109428200:+,0.014,0.016,0.018,same,same,GPSM2
A3SS,1:109490233:109490340:-@1:109486529|109486679:109486458:-,0.966,0.974,0.952,same,same,AKNAD1
A3SS,1:109490233:109490340:-@1:109486529|109486679:109486458:-,0.966,0.974,0.952,same,same,CLCC1
A3SS,1:109505983:109506111:-@1:109493060|109493070:109492931:-,0.834,0.798,0.84,same,same,AKNAD1
A3SS,1:109505983:109506111:-@1:109493060|109493070:109492931:-,0.834,0.798,0.84,same,same,CLCC1
A3SS,1:109553538:109554340:-@1:109547337|109547340:109547214:-,0.242,0.224,0.232,same,same,WDR47
A3SS,1:109656533:109656614:+@1:109656750|109656753:109656958:+,0.398,0.374,0.338,same,same,KIAA1324
A3SS,1:109743357:109743522:+@1:109745535|109745566:109745853:+,0.896,0.808,0.884,same,same,KIAA1324
A3SS,1:109825685:109825790:-@1:109825353|109825358:109825302:-,0.706,0.666,0.618,same,same,PSRC1
A3SS,1:109825696:109825744:-@1:109825353|109825411:109825302:-,0.368,0.396,0.43,same,same,PSRC1
A3SS,1:109890105:109890154:-@1:109888500|109888503:109888373:-,0.642,0.62,0.626,same,same,SORT1
A3SS,1:110029629:110029839:+@1:110030140|110030236:110030426:+,0.024,0.026,0.032,same,same,ATXN7L2
A3SS,1:110037765:110037802:+@1:110038301|110038378:110041477:+,0.734,0.654,0.65,same,same,CYB561D1
A3SS,1:110171949:110172112:+@1:110172418|110172422:110172538:+,0.064,0.038,0.054,same,same,AMPD2
A3SS,1:110171949:110172112:+@1:110172418|110172422:110172538:+,0.064,0.038,0.054,same,same,RP5-1160K1.6
