eventtype,event_name,control,prpf38,prpf8,prpf8_diff,prpf38_diff,symbol
RI,1:100573560-100573366:-@1:100573273-100573184:-,0.066,0.06,0.15,same,same,SASS6
RI,1:100605964-100606070:+@1:100606408-100606575:+,0.1,0.094,0.08,same,same,TRMT13
RI,1:1019763-1019733:-@1:1019391-1019295:-,0.888,0.89,0.884,same,same,C1orf159
RI,1:1019763-1019733:-@1:1019466-1019295:-,0.62,0.718,0.776,higher,same,C1orf159
RI,1:1019886-1019861:-@1:1019763-1019733:-,0.514,0.548,0.46,same,same,C1orf159
RI,1:1026754-1026658:-@1:1025808-1025733:-,0.682,0.832,0.756,same,higher,C1orf159
RI,1:109238899-109238959:+@1:109239362-109240126:+,0.892,0.96,0.966,same,same,PRPF38B
RI,1:109813839-109813918:+@1:109814008-109814344:+,0.032,0.036,0.116,same,same,CELSR2
RI,1:109814008-109814134:+@1:109814222-109814344:+,0.094,0.082,0.18,same,same,CELSR2
RI,1:109814900-109815027:+@1:109815262-109815350:+,0.036,0.034,0.046,same,same,CELSR2
RI,1:109815262-109815350:+@1:109815455-109815649:+,0.018,0.02,0.056,same,same,CELSR2
RI,1:109823873-109823730:-@1:109823538-109823399:-,0.76,0.836,0.916,higher,same,PSRC1
RI,1:109823873-109823759:-@1:109823668-109823399:-,0.21,0.242,0.24,same,same,PSRC1
RI,1:109825353-109825302:-@1:109825197-109825140:-,0.02,0.026,0.032,same,same,PSRC1
RI,1:109825744-109825696:-@1:109825411-109825302:-,0.802,0.818,0.828,same,same,PSRC1
RI,1:110031469-110031722:+@1:110032552-110032750:+,0.086,0.136,0.114,same,same,ATXN7L2
RI,1:110465788-110466333:+@1:110466682-110466812:+,0.966,0.988,0.968,same,same,CSF1
RI,1:110774843-110775219:+@1:110775533-110776666:+,0.866,0.862,0.654,lower,same,KCNC4
RI,1:111964295-111964187:-@1:111964083-111963898:-,0.624,0.628,0.796,higher,same,OVGP1
RI,1:113153625-113153463:-@1:113153312-113153077:-,0.984,0.976,0.99,same,same,ST7L
RI,1:113240909-113241100:+@1:113241337-113241411:+,0.068,0.116,0.122,same,same,MOV10
RI,1:113240909-113241411:+@1:113242307-113242432:+,0.074,0.106,0.172,same,same,MOV10
RI,1:113242516-113242604:+@1:113242841-113242962:+,0.046,0.078,0.112,same,same,MOV10
RI,1:113245741-113245621:-@1:113245315-113245185:-,0.012,0.014,0.012,same,same,RHOC
RI,1:113245741-113245621:-@1:113245315-113245185:-,0.012,0.014,0.012,same,same,RP11-426L16.10
RI,1:114453753-114454460:+@1:114454754-114456708:+,0.978,0.984,0.994,same,same,DCLRE1B
RI,1:114522954-114523239:+@1:114523571-114524876:+,0.014,0.022,0.022,same,same,OLFML3
RI,1:114940612-114940562:-@1:114940482-114940230:-,0.058,0.04,0.054,same,same,TRIM33
RI,1:11740670-11740619:-@1:11740528-11740410:-,0.022,0.034,0.064,same,same,MAD2L2
RI,1:117655075-117654717:-@1:117653834-117653682:-,0.87,0.912,0.906,same,same,TRIM45
RI,1:1179655-1179571:-@1:1179485-1179334:-,0.605,0.7075,0.72,higher,higher,FAM132A
RI,1:12089280-12089338:+@1:12089822-12089951:+,0.138,0.22,0.246,higher,same,MIIP
RI,1:12089280-12089951:+@1:12090085-12090181:+,0.158,0.192,0.228,same,same,MIIP
RI,1:1222888-1222976:+@1:1223053-1223216:+,0.388,0.446,0.643333333333333,higher,same,SCNN1D
RI,1:12408880-12409030:+@1:12409221-12409431:+,0.2,0.08,0.048,lower,lower,VPS13D
RI,1:1247881-1247820:-@1:1247748-1247606:-,0.094,0.122,0.38,higher,same,CPSF3L
RI,1:1248080-1247973:-@1:1247748-1247606:-,0.154,0.194,0.568,higher,same,CPSF3L
RI,1:1248080-1247973:-@1:1247881-1247606:-,0.102,0.132,0.34,higher,same,CPSF3L
RI,1:1248329-1248167:-@1:1248080-1247973:-,0.096,0.112,0.24,higher,same,CPSF3L
RI,1:1248504-1248415:-@1:1248329-1247973:-,0.098,0.124,0.32,higher,same,CPSF3L
RI,1:1248972-1248889:-@1:1248504-1248415:-,0.094,0.14,0.344,higher,same,CPSF3L
RI,1:1256473-1256376:-@1:1255909-1255836:-,0.03,0.034,0.098,same,same,CPSF3L
RI,1:1256473-1256376:-@1:1256062-1255836:-,0.086,0.106,0.392,higher,same,CPSF3L
RI,1:1289889-1289734:-@1:1289612-1289573:-,0.435,0.262,0.41,same,lower,MXRA8
RI,1:1326955-1326677:-@1:1326245-1326146:-,0.94,0.838,0.892,same,lower,CCNL2
RI,1:1328183-1328059:-@1:1326245-1326146:-,0.748,0.712,0.712,same,same,CCNL2
RI,1:1328183-1328170:-@1:1326245-1326146:-,0.462,0.54,0.562,higher,same,CCNL2
RI,1:1328183-1328170:-@1:1326955-1326146:-,0.756,0.966,0.89,higher,higher,CCNL2
RI,1:1342399-1342289:-@1:1341266-1341189:-,0.004,0.01,0.006,same,same,MRPL20
RI,1:1421162-1421218:+@1:1421490-1421615:+,0.016,0.032,0.084,same,same,ATAD3B
RI,1:144826235-144826286:+@1:144826933-144827105:+,0.076,0.07,0.076,same,same,NBPF9
RI,1:144892589-144892501:-@1:144890989-144890592:-,0.85,0.844,0.808,same,same,PDE4DIP
RI,1:144892589-144892501:-@1:144892219-144890592:-,0.758,0.824,0.724,same,same,PDE4DIP
RI,1:144955292-144955216:-@1:144952689-144952566:-,0.14,0.082,0.27,higher,same,PDE4DIP
RI,1:145457309-145457236:-@1:145457104-145456991:-,0.048,0.062,0.196,higher,same,POLR3GL
RI,1:145508016-145508075:+@1:145508207-145508284:+,0.012,0.012,0.014,same,same,RBM8A
RI,1:145508016-145508075:+@1:145508207-145508284:+,0.012,0.012,0.014,same,same,RP11-315I20.1
RI,1:145508016-145508075:+@1:145508210-145508284:+,0.236,0.226,0.214,same,same,RBM8A
RI,1:145508016-145508075:+@1:145508210-145508284:+,0.236,0.226,0.214,same,same,RP11-315I20.1
RI,1:145508016-145508284:+@1:145508475-145508611:+,0.034,0.032,0.03,same,same,RBM8A
RI,1:145508016-145508284:+@1:145508475-145508611:+,0.034,0.032,0.03,same,same,RP11-315I20.1
RI,1:145515745-145515670:-@1:145515409-145515189:-,0.7525,0.74,0.81,same,same,GNRHR2
RI,1:145578062-145578295:+@1:145578401-145578479:+,0.99,0.986,0.952,same,same,PIAS3
RI,1:145578062-145578479:+@1:145578637-145578721:+,0.046,0.03,0.038,same,same,PIAS3
RI,1:145584799-145584836:+@1:145585356-145586546:+,0.022,0.024,0.042,same,same,NUDT17
RI,1:145584799-145584836:+@1:145585356-145586546:+,0.022,0.024,0.042,same,same,PIAS3
RI,1:145588635-145588610:-@1:145588470-145588378:-,0.756,0.735,0.46,lower,same,NUDT17
