eventtype,event_name,control,prpf38,prpf8,prpf8_diff,prpf38_diff,symbol
MXE,1:100732080:100732180:+@1:100732722:100732801:+@1:100733056:100733094:+@1:100733708:100733851:+,0.052,0.068,0.072,same,same,RTCA
MXE,1:101354309:101354384:-@1:101346477:101346607:-@1:101343950:101344003:-@1:101343032:101343459:-,0.01,0.034,0.024,same,same,EXTL2
MXE,1:101354309:101354384:-@1:101346477:101346607:-@1:101343980:101344003:-@1:101343032:101343459:-,0.01,0.024,0.018,same,same,EXTL2
MXE,1:101487197:101487321:-@1:101479266:101479374:-@1:101467023:101467100:-@1:101460666:101460705:-,0.51,0.42,0.44,same,same,DPH5
MXE,1:101487197:101487321:-@1:101479266:101479374:-@1:101467023:101467100:-@1:101460666:101460705:-,0.51,0.42,0.44,same,same,RP11-421L21.2
MXE,1:101487197:101487321:-@1:101479266:101479374:-@1:101467023:101467143:-@1:101460666:101460705:-,0.448,0.4,0.434,same,same,DPH5
MXE,1:101487197:101487321:-@1:101479266:101479374:-@1:101467023:101467143:-@1:101460666:101460705:-,0.448,0.4,0.434,same,same,RP11-421L21.2
MXE,1:101538216:101538386:+@1:101540832:101540950:+@1:101540951:101541272:+@1:101542919:101543064:+,0.458,0.624,0.66,higher,higher,RP11-421L21.3
MXE,1:1026852:1026945:-@1:1026658:1026754:-@1:1026256:1026363:-@1:1025733:1025808:-,0.4,0.152,0.386,same,lower,C1orf159
MXE,1:1051440:1051736:-@1:1050402:1050455:-@1:1041336:1041429:-@1:1027371:1027483:-,0.108,0.168,0.136,same,same,C1orf159
MXE,1:107946262:107946267:+@1:107961202:107961267:+@1:107973372:107973539:+@1:108023233:108024092:+,0.582,0.502,0.5525,same,same,AC114491.1
MXE,1:107946262:107946267:+@1:107961202:107961267:+@1:107973372:107973539:+@1:108023233:108024092:+,0.582,0.502,0.5525,same,same,NTNG1
MXE,1:107950304:107950330:+@1:107961202:107961267:+@1:107973372:107973539:+@1:108023233:108024092:+,0.544,0.54,0.55,same,same,AC114491.1
MXE,1:107950304:107950330:+@1:107961202:107961267:+@1:107973372:107973539:+@1:108023233:108024092:+,0.544,0.54,0.55,same,same,NTNG1
MXE,1:109584484:109584697:-@1:109565977:109566143:-@1:109560140:109560223:-@1:109556463:109556547:-,0.55,0.514,0.514,same,same,RP11-20O24.1
MXE,1:109584484:109584697:-@1:109565977:109566143:-@1:109560140:109560223:-@1:109556463:109556547:-,0.55,0.514,0.514,same,same,WDR47
MXE,1:109716096:109716201:+@1:109716310:109716459:+@1:109727667:109727755:+@1:109730799:109730976:+,0.586,0.544,0.62,same,same,KIAA1324
MXE,1:110036722:110036909:+@1:110037142:110037245:+@1:110037765:110037802:+@1:110038378:110043055:+,0.238,0.288,0.36,higher,same,CYB561D1
MXE,1:110162762:110162900:+@1:110163536:110163888:+@1:110167925:110168055:+@1:110168284:110168414:+,0.21,0.148,0.228,same,same,AMPD2
MXE,1:110453128:110453254:+@1:110453435:110453684:+@1:110456881:110457003:+@1:110458256:110458318:+,0.462,0.482,0.422,same,same,CSF1
MXE,1:11073773:11074022:+@1:11075581:11075703:+@1:11076180:11076311:+@1:11076901:11077064:+,0.74,0.824,0.936,higher,same,TARDBP
MXE,1:110931859:110931977:-@1:110923604:110923765:-@1:110922419:110922511:-@1:110921475:110921978:-,0.946,0.944,0.942,same,same,LAMTOR5-AS1
MXE,1:110931859:110931977:-@1:110923604:110923765:-@1:110922419:110922511:-@1:110921475:110921978:-,0.946,0.944,0.942,same,same,SLC16A4
MXE,1:110931859:110931977:-@1:110925456:110925588:-@1:110924274:110924417:-@1:110923604:110923765:-,0.168,0.182,0.096,same,same,LAMTOR5-AS1
MXE,1:110931859:110931977:-@1:110925456:110925588:-@1:110924274:110924417:-@1:110923604:110923765:-,0.168,0.182,0.096,same,same,SLC16A4
MXE,1:110954795:110954915:+@1:110955943:110956032:+@1:110956774:110956853:+@1:110958631:110958810:+,0.39,0.422,0.315,same,same,LAMTOR5-AS1
MXE,1:110955557:110955716:+@1:110955943:110956032:+@1:110956774:110956853:+@1:110958631:110958810:+,0.226,0.182,0.495,higher,same,LAMTOR5-AS1
MXE,1:111668849:111668916:-@1:111667364:111667503:-@1:111665238:111665265:-@1:111663138:111663315:-,0.978,0.978,0.988,same,same,DRAM2
MXE,1:113119608:113119710:-@1:113098490:113098640:-@1:113093223:113093315:-@1:113084573:113084712:-,0.64,0.65,0.824,higher,same,ST7L
MXE,1:113162266:113162418:-@1:113161531:113161761:-@1:113159435:113159517:-@1:113153463:113153625:-,0.384,0.466,0.42,same,same,CAPZA1
MXE,1:113162266:113162418:-@1:113161531:113161761:-@1:113159435:113159517:-@1:113153463:113153625:-,0.384,0.466,0.42,same,same,ST7L
MXE,1:114269040:114269196:-@1:114267381:114267515:-@1:114255901:114256060:-@1:114254562:114254735:-,0.47,0.5,0.512,same,same,PHTF1
MXE,1:114429871:114429997:-@1:114429159:114429280:-@1:114424395:114424619:-@1:114423325:114423762:-,0.265,0.3475,0.53,higher,same,AP4B1-AS1
MXE,1:114429871:114429997:-@1:114429159:114429280:-@1:114424395:114424619:-@1:114423325:114423762:-,0.265,0.3475,0.53,higher,same,BCL2L15
MXE,1:114447227:114447415:-@1:114445260:114445356:-@1:114444377:114444507:-@1:114442526:114443022:-,0.6,0.472,0.536,same,lower,AP4B1
MXE,1:114447227:114447415:-@1:114445260:114445356:-@1:114444377:114444507:-@1:114442526:114443022:-,0.6,0.472,0.536,same,lower,AP4B1-AS1
MXE,1:114447227:114447415:-@1:114445260:114445484:-@1:114444377:114444507:-@1:114442526:114443022:-,0.736,0.638,0.71,same,same,AP4B1
MXE,1:114447227:114447415:-@1:114445260:114445484:-@1:114444377:114444507:-@1:114442526:114443022:-,0.736,0.638,0.71,same,same,AP4B1-AS1
MXE,1:115300546:115300608:-@1:115292442:115292828:-@1:115282313:115282511:-@1:115280584:115280693:-,0.48,0.476,0.462,same,same,CSDE1
MXE,1:116961081:116961244:-@1:116953883:116953937:-@1:116949550:116949817:-@1:116948131:116948770:-,0.726,0.618,0.48,lower,lower,ATP1A1
MXE,1:116961081:116961244:-@1:116953883:116953937:-@1:116949550:116949817:-@1:116948131:116948770:-,0.726,0.618,0.48,lower,lower,ATP1A1OS
MXE,1:116961081:116961244:-@1:116953883:116953937:-@1:116949550:116949817:-@1:116948131:116948770:-,0.726,0.618,0.48,lower,lower,RNU6-817P
MXE,1:117638771:117638921:+@1:117639973:117640055:+@1:117640828:117640860:+@1:117641455:117641529:+,0.854,0.93,0.924,same,same,TTF2
MXE,1:11796141:11796292:+@1:11805860:11805894:+@1:11807497:11807602:+@1:11808472:11808667:+,0.172,0.182,0.194,same,same,AGTRAP
MXE,1:12014887:12014950:+@1:12016974:12017071:+@1:12017147:12017250:+@1:12017899:12018000:+,0.998,0.996,0.998,same,same,PLOD1
MXE,1:1203242:1203372:-@1:1201478:1201670:-@1:1200163:1200210:-@1:1198726:1198766:-,0.112,0.106,0.144,same,same,UBE2J2
MXE,1:1243149:1243398:-@1:1242717:1242763:-@1:1242452:1242536:-@1:1239466:1239523:-,0.732,0.774,0.568,lower,same,ACAP3
MXE,1:1258561:1258667:-@1:1256376:1256473:-@1:1250900:1250998:-@1:1250204:1250342:-,0.42,0.418,0.388,same,same,CPSF3L
MXE,1:1258561:1258667:-@1:1256376:1256473:-@1:1250900:1250998:-@1:1250204:1250342:-,0.42,0.418,0.388,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1254452:1254904:-@1:1250900:1250998:-@1:1250204:1250342:-,0.604,0.63,0.596,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1254452:1254904:-@1:1250900:1250998:-@1:1250204:1250342:-,0.604,0.63,0.596,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1256376:1256473:-@1:1250900:1250998:-@1:1250204:1250342:-,0.664,0.67,0.634,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1256376:1256473:-@1:1250900:1250998:-@1:1250204:1250342:-,0.664,0.67,0.634,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1256376:1256473:-@1:1254452:1254904:-@1:1250204:1250342:-,0.54,0.522,0.526,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1256376:1256473:-@1:1254452:1254904:-@1:1250204:1250342:-,0.54,0.522,0.526,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1256376:1256473:-@1:1254676:1254904:-@1:1250900:1250998:-,0.352,0.338,0.408,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1256376:1256473:-@1:1254676:1254904:-@1:1250900:1250998:-,0.352,0.338,0.408,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1256376:1256476:-@1:1250900:1250998:-@1:1250204:1250342:-,0.424,0.418,0.392,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1256376:1256476:-@1:1250900:1250998:-@1:1250204:1250342:-,0.424,0.418,0.392,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1256376:1256476:-@1:1254452:1254904:-@1:1250204:1250342:-,0.334,0.304,0.314,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1256376:1256476:-@1:1254452:1254904:-@1:1250204:1250342:-,0.334,0.304,0.314,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1256376:1256476:-@1:1254676:1254904:-@1:1250900:1250998:-,0.172,0.158,0.21,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1256376:1256476:-@1:1254676:1254904:-@1:1250900:1250998:-,0.172,0.158,0.21,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1258272:1258667:-@1:1257288:1257364:-@1:1256376:1256473:-,0.072,0.064,0.106,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1258527:1258667:-@1:1257288:1257364:-@1:1256376:1256473:-,0.236,0.144,0.232,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1254676:1254904:-@1:1250900:1250998:-,0.016,0.008,0.024,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1254676:1254904:-@1:1250900:1250998:-,0.016,0.008,0.024,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1256376:1256473:-@1:1250900:1250998:-,0.03,0.014,0.03,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1256376:1256473:-@1:1250900:1250998:-,0.03,0.014,0.03,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1256376:1256476:-@1:1250900:1250998:-,0.076,0.042,0.066,same,same,CPSF3L
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1256376:1256476:-@1:1250900:1250998:-,0.076,0.042,0.066,same,same,RP5-890O3.9
MXE,1:1259961:1260038:-@1:1258561:1258667:-@1:1257288:1257364:-@1:1256376:1256473:-,0.384,0.264,0.322,same,lower,CPSF3L
MXE,1:1325610:1325751:-@1:1324330:1324427:-@1:1324006:1324123:-@1:1323334:1323445:-,0.606,0.706,0.59,same,same,CCNL2
MXE,1:142618769:142618856:+@1:142619387:142619579:+@1:142619630:142619717:+@1:142621001:142621059:+,0.67,0.62,0.695,same,same,RP11-417J8.3
